net,length_um
net239,105.27
net97,105
u_decod.branch_imm_q_o\[19\],104.96
_01684_,104.8
_01436_,104.69
_01454_,104.57
_04200_,104.47
net71,104.46
net279,104.42
net326,104.38
clknet_leaf_128_clk,104.26
net44,104.18
_04532_,104.05
_04042_,104.04
u_decod.branch_imm_q_o\[18\],104.02
_01498_,103.92
_04757_,103.76
net35,103.76
clknet_leaf_32_clk,103.76
_03143_,103.72
net301,103.4
u_decod.branch_imm_q_o\[9\],103.36
clknet_leaf_130_clk,103.355
clknet_leaf_127_clk,102.94
_02628_,102.8
_02775_,102.76
clknet_leaf_92_clk,102.76
u_decod.pc0_q_i\[14\],102.68
net36,102.62
net331,102.42
net344,102.39
net341,102.355
_02970_,102.05
_03060_,102.025
net286,102
_01702_,101.99
_02951_,101.84
net291,101.78
_02509_,101.64
clknet_leaf_74_clk,101.56
_04274_,101.38
net244,101.31
net204,100.85
clknet_leaf_6_clk,100.84
_03140_,100.75
net257,100.6
net208,100.53
_04770_,100.3
_02463_,100.26
_04753_,100.19
_01423_,100.14
_04457_,100.12
_01205_,100.025
net219,99.99
net237,99.99
net290,99.52
clknet_leaf_11_clk,99.5
u_rf.reg26_q\[24\],99.41
u_decod.pc_q_o\[16\],99.355
clknet_leaf_44_clk,99.34
u_decod.rf_ff_res_data_i\[8\],99.305
_02465_,99.15
clknet_leaf_22_clk,99.02
net58,98.94
net101,98.88
_03457_,98.84
net308,98.805
clknet_leaf_36_clk,98.78
net82,98.545
net306,98.51
_02136_,98.29
_02415_,98.22
_03522_,98.06
net309,97.84
net298,97.8
_04751_,97.78
clknet_leaf_21_clk,97.78
net228,97.75
u_rf.reg26_q\[27\],97.72
net250,97.7
net281,97.62
_04442_,97.54
clknet_leaf_24_clk,97.54
net371,97.32
u_decod.exe_ff_res_data_i\[5\],97.3
net278,97.27
_02400_,97.26
net316,97.19
clknet_leaf_132_clk,97.14
u_rf.reg6_q\[9\],97.1
_01451_,97.02
net504,96.98
net216,96.92
net370,96.83
net221,96.71
_01422_,96.695
net59,96.64
net37,96.46
_01257_,96.38
net302,96.37
net195,96.36
_04786_,96.335
_01831_,96.3
_02498_,96.26
net80,96.18
_02487_,96.16
net229,96.15
net349,96.14
clknet_leaf_68_clk,96.1
net355,95.925
_05296_,95.86
clknet_leaf_49_clk,95.84
_01444_,95.55
_03219_,95.53
net496,95.46
_03855_,95.44
net224,95.33
u_decod.rs1_data_q\[14\],95.23
u_decod.rs1_data_q\[15\],95.195
_03017_,95.12
net360,95.1
net336,95.06
net357,95.03
net193,95.02
net294,94.92
_01431_,94.885
u_decod.pc_q_o\[19\],94.875
_03434_,94.78
clknet_leaf_64_clk,94.74
clknet_leaf_19_clk,94.6
_01424_,94.44
_04747_,94.44
clknet_leaf_125_clk,94.42
clknet_leaf_42_clk,94.26
u_decod.rs2_data_q\[2\],94.23
clknet_leaf_53_clk,94.18
u_rf.reg2_q\[7\],94.16
clknet_leaf_20_clk,94.16
net238,93.94
net323,93.93
_01447_,93.82
clknet_leaf_17_clk,93.82
_05700_,93.72
_03647_,93.6
_01537_,93.58
_03934_,93.575
_01500_,93.56
u_rf.reg1_q\[9\],93.48
net142,93.4
clknet_leaf_66_clk,93.2
clknet_leaf_38_clk,92.62
u_rf.reg28_q\[5\],92.24
u_decod.pc_q_o\[27\],92.165
u_decod.branch_imm_q_o\[3\],91.76
u_decod.pc_q_o\[21\],91.7
clknet_leaf_112_clk,91.575
_02357_,91.44
net264,91.42
net197,91.4
net364,91.39
net192,91.38
net339,91.37
clknet_leaf_107_clk,91.18
net75,91.125
net247,91.1
net116,91.02
u_decod.rs2_data_q\[22\],90.84
net314,90.81
_03261_,90.68
net353,90.62
_02878_,90.55
net34,90.22
net200,90.2
u_rf.reg28_q\[6\],90.16
_04745_,90.04
u_decod.instr_unit_q\[2\],90.02
net86,89.765
net21,89.76
net22,89.74
net271,89.63
_02502_,89.55
net317,89.47
net236,89.43
_01425_,89.42
_04955_,89.42
_01522_,89.24
u_decod.dec0.funct3\[2\],88.98
u_decod.pc_q_o\[17\],88.92
_03690_,88.76
net258,88.72
clknet_leaf_122_clk,88.505
net209,88.5
net243,88.48
clknet_leaf_46_clk,88.46
_01351_,88.41
_01474_,88.36
_04997_,88.36
_01357_,88.32
_01520_,88.3
u_decod.pc_q_o\[18\],88.3
u_decod.pc0_q_i\[1\],88.28
net149,88.26
_01714_,88.14
net88,87.985
u_rf.reg3_q\[9\],87.91
_03188_,87.76
u_rf.reg5_q\[7\],87.72
net5,87.68
clknet_leaf_23_clk,87.66
u_rf.reg0_q\[1\],87.57
_03645_,87.54
net121,87.54
_03260_,87.52
u_decod.rs1_data\[31\],87.42
net203,87.28
_01057_,87.16
_01548_,87.13
_04730_,86.98
u_decod.branch_imm_q_o\[21\],86.66
net267,86.65
clknet_leaf_121_clk,86.62
net296,86.59
u_decod.rf_ff_res_data_i\[6\],86.54
net157,86.54
clknet_leaf_111_clk,86.46
u_decod.branch_imm_q_o\[2\],86.22
u_rf.reg8_q\[1\],86.08
u_decod.branch_imm_q_o\[23\],85.95
_03954_,85.72
u_rf.reg3_q\[7\],85.625
u_decod.pc_q_o\[26\],85.56
clknet_leaf_57_clk,85.44
net324,85.35
_04970_,85.34
_04455_,85.21
clknet_leaf_61_clk,85.18
_01536_,84.875
net211,84.67
u_decod.rs2_data_nxt\[4\],84.64
net205,84.64
net369,84.64
net234,84.59
_05717_,84.52
clknet_leaf_137_clk,84.52
clknet_leaf_15_clk,84.48
u_rf.reg9_q\[19\],84.39
u_decod.branch_imm_q_o\[5\],84.2
_01712_,84.16
clknet_leaf_0_clk,84.16
net503,84.1
net436,84.06
u_decod.exe_ff_rd_adr_q_i\[4\],84.04
clknet_leaf_34_clk,84
net55,83.98
_02644_,83.94
clknet_leaf_98_clk,83.935
_04978_,83.84
clknet_leaf_16_clk,83.76
_04947_,83.64
clknet_leaf_54_clk,83.64
clknet_leaf_94_clk,83.64
clknet_leaf_25_clk,83.6
_02672_,83.5
u_rf.reg2_q\[1\],83.46
net245,83.46
net125,83.44
u_decod.pc_q_o\[22\],83.43
net262,83.42
u_rf.reg10_q\[18\],83.36
clknet_leaf_67_clk,83.355
u_rf.reg22_q\[31\],83.28
u_rf.reg0_q\[15\],83.04
clknet_leaf_118_clk,82.98
clknet_leaf_70_clk,82.91
_01683_,82.88
_02634_,82.84
_01080_,82.81
clknet_leaf_59_clk,82.68
net261,82.66
_03380_,82.42
u_rf.reg8_q\[7\],82.405
_04738_,82.3
clknet_leaf_76_clk,82.26
_04976_,82.24
net217,82.12
u_decod.instr_operation_q\[4\],82.09
net491,81.98
_01496_,81.95
u_decod.exe_ff_res_data_i\[27\],81.68
